=== Results ===
Period String: 001
{'110': 260, '000': 274, '101': 253, '011': 237}
{'110': 251, '000': 239, '101': 286, '011': 248}
{'110': 239, '000': 251, '101': 266, '011': 268}
{'110': 256, '000': 247, '101': 263, '011': 258}
{'110': 250, '000': 263, '101': 257, '011': 254}
{'110': 234, '000': 262, '101': 262, '011': 266}
{'110': 271, '000': 253, '101': 241, '011': 259}
{'110': 270, '000': 254, '101': 258, '011': 242}
{'110': 265, '000': 271, '101': 250, '011': 238}
{'110': 236, '000': 264, '101': 252, '011': 272}
{'110': 282, '000': 258, '101': 237, '011': 247}
{'110': 275, '000': 242, '101': 242, '011': 265}
{'110': 265, '000': 248, '101': 257, '011': 254}
{'110': 246, '000': 255, '101': 242, '011': 281}
{'110': 230, '000': 263, '101': 259, '011': 272}
{'110': 260, '000': 232, '101': 257, '011': 275}
{'110': 244, '000': 262, '101': 262, '011': 256}
{'110': 278, '000': 245, '101': 257, '011': 244}
{'110': 271, '000': 243, '101': 253, '011': 257}
{'110': 256, '000': 240, '101': 266, '011': 262}
{'110': 263, '000': 249, '101': 249, '011': 263}
{'110': 273, '000': 245, '101': 269, '011': 237}
{'110': 241, '000': 261, '101': 254, '011': 268}
{'110': 242, '000': 244, '101': 285, '011': 253}
{'110': 267, '000': 237, '101': 274, '011': 246}
{'110': 253, '000': 247, '101': 272, '011': 252}
{'110': 269, '000': 251, '101': 250, '011': 254}
{'110': 238, '000': 238, '101': 269, '011': 279}
{'110': 236, '000': 275, '101': 250, '011': 263}
{'110': 272, '000': 239, '101': 257, '011': 256}
{'110': 280, '000': 240, '101': 261, '011': 243}
